Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Net Income/Starting Line;Depreciation & Amortization;Non-Cash Items;Net Cash from Operating Activities;Change in Fixed Assets & Intangibles;Net Change in Investments;Net Cash from Investing Activities;Dividends Paid;Cash from (Repayment of) Debt;Cash from (Repurchase of) Equity;Net Cash from Financing Activities;Effect of Foreign Exchange Rates;Net Change in Cash
KNSL;1022619;USD;2024;FY;2024-12-31;2025-02-21;2026-02-20;23153000;23332000;414843000;5802000;546710000;976301000;-23943000;-781449000;-960125000;-13940000;;-8670000;-29657000;;-13481000
L;378182;USD;2020;FY;2020-12-31;2021-02-09;2023-02-07;280320000;280320000;-1291000000;734000000;1917000000;2316000000;-710000000;-1273000000;-1985000000;-70000000;933000000;-923000000;-198000000;9000000;142000000
L;378182;USD;2021;FY;2021-12-31;2022-02-08;2024-02-06;256760000;257300000;1685000000;515000000;-555000000;2672000000;-482000000;-1015000000;-1248000000;-65000000;6000000;-1136000000;-1277000000;-4000000;143000000
L;378182;USD;2022;FY;2022-12-31;2023-02-07;2025-02-11;242830000;243280000;891000000;509000000;346000000;3314000000;-660000000;-1339000000;-2347000000;;;;;;967000000
L;378182;USD;2023;FY;2023-12-31;2024-02-06;2026-02-10;227480000;227810000;1545000000;538000000;116000000;3907000000;-686000000;-936000000;-2745000000;;;;;;1162000000
L;378182;USD;2024;FY;2024-12-31;2025-02-11;2026-02-10;220260000;220530000;1494000000;583000000;-132000000;3025000000;-632000000;-641000000;-1975000000;;;;;;1050000000
LMND;1070336;USD;2020;FY;2020-12-31;2021-03-08;2023-03-03;33654828;33654828;-122300000;1700000;96900000;-91700000;;;50100000;;;1800000;341100000;1600000;301100000
LMND;1070336;USD;2021;FY;2021-12-31;2022-03-01;2024-02-28;61580145;61580145;-241300000;3700000;95000000;-144600000;;;-804800000;;;9300000;649600000;-1000000;-300800000
LMND;1070336;USD;2022;FY;2022-12-31;2023-03-03;2025-02-26;64921524;64921524;-297800000;12200000;147900000;-163000000;;;181100000;;;3600000;3600000;-5800000;15900000
LMND;1070336;USD;2023;FY;2023-12-31;2024-02-28;2026-02-25;69658912;69658912;-236900000;20000000;22800000;-119100000;;;88700000;;14900000;500000;15400000;;-15000000
LMND;1070336;USD;2024;FY;2024-12-31;2025-02-26;2026-02-25;71023115;71023115;-202200000;20000000;11900000;-11400000;;;40600000;;68400000;19300000;87700000;-2700000;114200000
LNC;243942;USD;2020;FY;2020-12-31;2021-02-18;2023-03-30;193610225;194465180;499000000;;871000000;534000000;;-9981000000;-9481000000;-311000000;193000000;-282000000;8092000000;;-855000000
LNC;243942;USD;2021;FY;2021-12-31;2022-02-17;2024-02-22;186089222;186089222;3778000000;;-2921000000;-217000000;;-5026000000;-3584000000;-319000000;;-1085000000;4705000000;;904000000
LNC;243942;USD;2022;FY;2022-12-31;2023-02-16;2025-02-21;186089222;186089222;1358000000;;-2456000000;3609000000;;-7063000000;-11646000000;-310000000;-4000000;420000000;8768000000;;731000000
LNC;243942;USD;2023;FY;2023-12-31;2024-02-22;2026-02-19;169562903;170738655;-752000000;;4366000000;-636000000;;-1967000000;-4772000000;-387000000;-500000000;-7000000;5430000000;;22000000
LNC;243942;USD;2024;FY;2024-12-31;2025-02-21;2026-02-19;170597104;173080425;3275000000;;-2212000000;-2007000000;;-1073000000;821000000;-398000000;246000000;-5000000;3622000000;;2436000000
MET;380562;USD;2020;FY;2020-12-31;2021-02-19;2023-02-23;907800000;913200000;5418000000;619000000;723000000;11639000000;;-11797000000;-18569000000;-1859000000;877000000;-193000000;10729000000;163000000;3962000000
MET;380562;USD;2021;FY;2021-12-31;2022-02-18;2024-02-16;838100000;845200000;6876000000;694000000;240000000;12347000000;;-11549000000;-11187000000;;;;;;1160000000
MET;380562;USD;2022;FY;2022-12-31;2023-02-23;2025-02-21;862700000;869400000;5302000000;673000000;6237000000;13044000000;;9207000000;101281000000;-1783000000;878000000;-3326000000;-113849000000;-397000000;79000000
MET;380562;USD;2023;FY;2023-12-31;2024-02-16;2026-02-19;757700000;762300000;1602000000;718000000;7846000000;13721000000;;-4509000000;85341000000;-1764000000;712000000;-3103000000;-98527000000;-91000000;444000000
MET;380562;USD;2024;FY;2024-12-31;2025-02-21;2026-02-19;706400000;711100000;4444000000;714000000;6426000000;14598000000;;-8961000000;86384000000;-1727000000;-982000000;-3207000000;-101008000000;-545000000;-571000000
MKL;205470;USD;2020;FY;2020-12-31;2021-02-19;2023-02-17;13811000;13823000;831767000;307069000;813920000;1737587000;-101301000;1092642000;-511748000;-18400000;-52813000;565059000;434556000;55901000;1716296000
MKL;205470;USD;2021;FY;2021-12-31;2022-02-18;2024-02-23;13702000;13749000;2445867000;336393000;-2881559000;-1082451000;-145249000;908681000;418716000;-36000000;711775000;-206518000;369767000;-41734000;-335702000
MKL;205470;USD;2022;FY;2022-12-31;2023-02-17;2025-02-24;13768000;13800000;-103357000;309448000;1197771000;363336000;-254712000;1394345000;845282000;-36000000;-220953000;-290796000;-764691000;-103361000;340566000
MKL;205470;USD;2023;FY;2023-12-31;2024-02-23;2026-02-26;13347000;13378000;2101090000;319734000;-3981434000;-2347078000;-258619000;2425168000;2430278000;-36000000;-324664000;-445479000;-999716000;27037000;-889479000
MKL;205470;USD;2024;FY;2024-12-31;2025-02-24;2026-02-26;13017000;13041000;2847406000;342359000;-2678613000;-1772016000;-254991000;2246009000;1967404000;-36000000;537456000;-572728000;-297878000;-37296000;-139786000
MMC;85544;USD;2020;FY;2020-12-31;2021-02-17;2023-02-13;506000000;512000000;2046000000;741000000;376000000;3382000000;-348000000;130000000;-793000000;-943000000;-778000000;132000000;-925000000;2686000000;4350000000
MMC;85544;USD;2021;FY;2021-12-31;2022-02-16;2024-02-12;507000000;513000000;3174000000;747000000;-64000000;3516000000;-406000000;41000000;-1164000000;-1026000000;-273000000;-998000000;-1297000000;345000000;1400000000
MMC;85544;USD;2022;FY;2022-12-31;2023-02-13;2025-02-10;507000000;513000000;3087000000;719000000;232000000;3465000000;-470000000;86000000;-850000000;-1138000000;619000000;-1824000000;-1046000000;-113000000;1456000000
MMC;85544;USD;2023;FY;2023-12-31;2024-02-12;2026-02-09;494000000;499000000;4165000000;713000000;58000000;4258000000;-433000000;-19000000;-1426000000;-1298000000;1903000000;-951000000;-1110000000;328000000;2050000000
MMC;85544;USD;2024;FY;2024-12-31;2025-02-10;2026-02-09;492000000;496000000;4485000000;746000000;-83000000;4302000000;-227000000;-53000000;-8819000000;-1513000000;6530000000;-636000000;4453000000;-414000000;-478000000
MTG;1067477;USD;2020;FY;2020-12-31;2021-02-23;2023-02-22;339953000;359293000;446093000;57812000;55146000;732309000;-3311000;836851000;-772506000;-82061000;424123000;-119997000;167821000;;127624000
MTG;1067477;USD;2021;FY;2021-12-31;2022-02-23;2024-02-21;335938000;335938000;634983000;66014000;51445000;696317000;-4115000;1374495000;-160749000;-94219000;-98610000;-290818000;-527290000;;8278000
MTG;1067477;USD;2022;FY;2022-12-31;2023-02-22;2025-02-26;305847000;311229000;865349000;54252000;64790000;650012000;-3254000;1088145000;410485000;-110947000;-486414000;-385573000;-1032542000;;27955000
MTG;1067477;USD;2023;FY;2023-12-31;2024-02-21;2026-02-25;283605000;287155000;712949000;35230000;43217000;712962000;-1999000;-179527000;-179190000;-122965000;-28637000;-337182000;-496041000;;37731000
MTG;1067477;USD;2024;FY;2024-12-31;2025-02-26;2026-02-25;261684000;263995000;762994000;18436000;41312000;725032000;-1174000;-140831000;-142005000;-130500000;;-569478000;-719044000;;-136017000
NMIH;1243192;USD;2020;FY;2020-12-31;2021-02-24;2023-02-15;85317000;86487000;171566000;9930000;56204000;252598000;;-661199000;-629554000;;252250000;228558000;462804000;;85848000
NMIH;1243192;USD;2021;FY;2021-12-31;2022-02-16;2024-02-15;85721000;86880000;231130000;11232000;90090000;325719000;;-351302000;-374180000;;;4704000;-1830000;;-50291000
NMIH;1243192;USD;2022;FY;2022-12-31;2023-02-15;2025-02-14;84921000;85999000;292902000;11870000;104567000;313394000;;-116923000;-289786000;;;-50615000;-55828000;;-32220000
NMIH;1243192;USD;2023;FY;2023-12-31;2024-02-15;2026-02-12;82407000;83854000;322110000;11541000;100000000;342683000;;-344949000;-200000000;;;-81064000;-90420000;;52263000
