Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Net Income/Starting Line;Depreciation & Amortization;Non-Cash Items;Net Cash from Operating Activities;Change in Fixed Assets & Intangibles;Net Change in Investments;Net Cash from Investing Activities;Dividends Paid;Cash from (Repayment of) Debt;Cash from (Repurchase of) Equity;Net Cash from Financing Activities;Effect of Foreign Exchange Rates;Net Change in Cash
THG;1234794;USD;2021;FY;2021-12-31;2022-02-25;2024-02-22;35500000;36400000;422800000;16900000;525100000;987500000;;-452200000;-624000000;-102200000;;-142100000;-253200000;;110300000
TIG;11818419;USD;2020;FY;2020-12-31;2021-03-26;2023-03-16;43744003;43744744;88549000;3485000;-70164000;50012000;-807000;-23911000;-20246000;-128000;-17275000;99643000;51400000;;81166000
TIG;11818419;USD;2021;FY;2021-12-31;2022-03-16;2023-03-16;51162293;51173450;19330000;6833000;-3019000;94359000;-346000;-116247000;-120156000;;-1444000;;-1453000;;-27250000
TIG;11818419;USD;2022;FY;2022-12-31;2023-03-16;2023-03-16;51203370;51203370;-65955000;6818000;64036000;108947000;-339000;-175101000;-176190000;;46805000;;46333000;;-20910000
TIPT;7962786;USD;2020;FY;2020-12-31;2021-03-11;2023-03-08;33859775;33859775;-25225000;17578000;3123257000;140169000;-6694000;-94459000;-123491000;-5566000;57909000;-13889000;31749000;;48427000
TIPT;7962786;USD;2021;FY;2021-12-31;2022-03-14;2024-02-29;33223792;33688256;44051000;24437000;-65342000;204316000;-2764000;-258835000;-273759000;-5409000;90935000;-8145000;73735000;;4292000
TIPT;7962786;USD;2022;FY;2022-12-31;2023-03-08;2025-03-03;35531149;35531149;3561000;22973000;262479000;463073000;-10727000;63211000;9514000;-7775000;-300778000;180192000;-115186000;-1828000;355573000
TIPT;7962786;USD;2023;FY;2023-12-31;2024-02-29;2026-03-09;36693204;37619095;13960000;1425000;-47021000;71452000;-4096000;-58498000;-244669000;-7401000;;;113406000;1525000;-58286000
TIPT;7962786;USD;2024;FY;2024-12-31;2025-03-03;2026-03-09;36872706;37926792;53367000;1451000;-80340000;240756000;-33000;58164000;-322985000;-18312000;;;6287000;-355000;-76297000
TRV;262327;USD;2020;FY;2020-12-31;2021-02-11;2023-02-16;253500000;254600000;2697000000;789000000;2972000000;6519000000;;-3640000000;-4892000000;-861000000;-10000000;-498000000;-1416000000;16000000;227000000
TRV;262327;USD;2021;FY;2021-12-31;2022-02-17;2024-02-15;243800000;246400000;3662000000;870000000;3101000000;7274000000;;-6014000000;-5196000000;-869000000;739000000;-1863000000;-2037000000;-1000000;40000000
TRV;262327;USD;2022;FY;2022-12-31;2023-02-16;2025-02-13;237000000;239700000;2842000000;826000000;3330000000;6465000000;;-3110000000;-3728000000;-875000000;;-1733000000;-2669000000;-30000000;38000000
TRV;262327;USD;2023;FY;2023-12-31;2024-02-15;2026-02-12;229700000;232200000;2991000000;722000000;4755000000;7711000000;;-4305000000;-6821000000;-908000000;738000000;-817000000;-1051000000;12000000;-149000000
TRV;262327;USD;2024;FY;2024-12-31;2025-02-13;2026-02-12;228000000;231100000;4999000000;715000000;3552000000;9074000000;;-6942000000;-7264000000;-951000000;;-682000000;-1747000000;-14000000;49000000
UFCS;7962682;USD;2023;FY;2023-12-31;2024-02-29;2026-02-26;25249269;25249269;-29700000;10508000;92802000;171736000;;157469000;-149886000;-16164000;;-290000;-16454000;;5396000
UFCS;7962682;USD;2024;FY;2024-12-31;2025-02-26;2026-02-26;25319973;25917760;61957000;10904000;43385000;340304000;;670576000;-292487000;-16212000;70000000;348000;51086000;;98903000
UNAM;251597;USD;2020;FY;2020-12-31;2021-03-31;2022-07-12;5305829;5305829;-21491113;673895;23225659;-2436399;;1995830;623473;;;-10733;-10733;;-1823659
UNAM;251597;USD;2021;FY;2021-12-31;2022-07-11;2022-07-12;5305829;5305829;-5673251;569801;5891652;-7510147;;9497325;19178919;;;-101;-101;;11668671
UNM;378233;USD;2020;FY;2020-12-31;2021-02-17;2023-02-23;203642000;203755300;793000000;113600000;-840300000;469300000;-119100000;110600000;-267700000;-231900000;14100000;4400000;-88700000;;112900000
