Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Revenue;Total Claims & Losses;Operating Income (Loss);Pretax Income (Loss);Income Tax (Expense) Benefit, Net;Income (Loss) from Affiliates, Net of Taxes;Income (Loss) from Continuing Operations;Net Extraordinary Gains (Losses);Net Income;Net Income (Common)
RGA;448474;USD;2021;FY;2021-12-31;2022-02-25;2023-02-24;68000000;68000000;16658000000;-13476000000;818000000;691000000;-74000000;;617000000;;617000000;617000000
RGA;448474;USD;2022;FY;2022-12-31;2023-02-24;2025-02-21;68000000;68000000;16227000000;-12664000000;919000000;718000000;-197000000;;521000000;;517000000;517000000
RGA;448474;USD;2023;FY;2023-12-31;2024-02-21;2026-02-20;66300000;67100000;18567000000;-14736000000;1407000000;1160000000;-251000000;;909000000;;902000000;902000000
RGA;448474;USD;2024;FY;2024-12-31;2025-02-21;2026-02-20;65800000;66900000;22107000000;-17990000000;1240000000;980000000;-256000000;;724000000;;717000000;717000000
RLI;1059908;USD;2020;FY;2020-12-31;2021-02-19;2023-02-24;90000000;90752000;983626000;;177211000;189841000;-32750000;;157091000;;157091000;157091000
RLI;1059908;USD;2021;FY;2021-12-31;2022-02-18;2024-02-23;90578000;91460000;1179245000;;314938000;344321000;-64967000;;279354000;;279354000;279354000
RLI;1059908;USD;2022;FY;2022-12-31;2023-02-24;2025-02-21;90736000;91588000;1697992000;;718872000;720678000;-137267000;;583411000;;583411000;583411000
RLI;1059908;USD;2023;FY;2023-12-31;2024-02-23;2026-02-20;91192000;92154000;1511994000;;374956000;377265000;-72654000;;304611000;;304611000;304611000
RLI;1059908;USD;2024;FY;2024-12-31;2025-02-21;2026-02-20;91529000;92451000;1770384000;;438751000;427551000;-81772000;;345779000;;345779000;345779000
RNR;971614;USD;2020;FY;2020-12-31;2021-02-05;2023-02-08;47103000;47178000;5172316000;;1046373000;995920000;-2862000;;993058000;;762405000;731482000
RNR;971614;USD;2021;FY;2021-12-31;2022-02-04;2024-02-21;44722000;44748000;5277709000;;-66572000;-114108000;10668000;;-103440000;;-40155000;-73421000
RNR;971614;USD;2022;FY;2022-12-31;2023-02-08;2025-02-12;44722000;44748000;5060412000;;-1170500000;-1218835000;59019000;;-1159816000;;-1061203000;-1096578000
