Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Net Income/Starting Line;Depreciation & Amortization;Provision for Loan Losses;Non-Cash Items;Change in Working Capital;Net Cash from Operating Activities;Change in Fixed Assets & Intangibles;Net Change in Loans & Interbank;Net Cash from Acquisitions & Divestitures;Net Cash from Investing Activities;Dividends Paid;Cash from (Repayment of) Debt;Cash from (Repurchase of) Equity;Net Cash from Financing Activities;Effect of Foreign Exchange Rates;Net Change in Cash
COOP;1306307;USD;2023;FY;2023-12-31;2024-02-28;2025-02-20;67070000;68549000;500000000;38000000;;13167000000;-12809000000;896000000;-18000000;;-556000000;-461000000;;;-276000000;-397000000;;38000000
COOP;1306307;USD;2024;FY;2024-12-31;2025-02-20;2025-02-20;64322000;65683000;669000000;44000000;;22471000000;-23908000000;-724000000;-38000000;;-1311000000;-500000000;;1750000000;-147000000;1457000000;;233000000
CPF;7962886;USD;2020;FY;2020-12-31;2021-02-23;2022-02-23;28108648;28313014;37273000;6223000;42111000;398165000;-406980000;76792000;-25784000;-522086000;;-596946000;-25935000;-124162000;-4749000;521249000;;1095000
CPF;7962886;USD;2021;FY;2021-12-31;2022-02-23;2024-02-21;28003744;28257323;79894000;6984000;-14591000;177423000;-139222000;110488000;-22161000;-138117000;;-662296000;-26959000;-22000000;-17433000;776648000;;224840000
CPF;7962886;USD;2022;FY;2022-12-31;2023-02-21;2025-02-26;27398445;27567780;73928000;6865000;-1273000;98913000;-64312000;114121000;-18440000;-456903000;;-384483000;-28505000;5000000;-20061000;53499000;;-216863000
CPF;7962886;USD;2023;FY;2023-12-31;2024-02-21;2026-02-27;27027681;27080518;58669000;6943000;15698000;42663000;-18861000;105112000;-6434000;100982000;;179661000;-28117000;45000000;-2632000;125620000;;410393000
CPF;7962886;USD;2024;FY;2024-12-31;2025-02-26;2026-02-27;27057329;27157120;53412000;6878000;9826000;80463000;-60060000;90519000;-15092000;91552000;;654000;-28143000;;-945000;-232669000;;-141496000
CSBB;12444763;USD;2020;FY;2020-12-31;2021-03-16;2022-04-07;2742350;2742350;10568000;853000;1650000;59182000;-58081000;14172000;-1179000;-51267000;;-136114000;;;;;;-121942000
CSBB;12444763;USD;2021;FY;2021-12-31;2022-03-16;2023-03-16;2742350;2742350;10837000;890000;-655000;45872000;-41927000;15017000;-1989000;67034000;;-57985000;-3331000;-1942000;-939000;104973000;;62005000
CSBB;12444763;USD;2022;FY;2022-12-31;2023-03-16;2024-03-15;2720633;2720633;13313000;960000;-895000;992000;127000;14497000;-366000;-56623000;;-183564000;-3526000;-4926000;-388000;11830000;;-157237000
CSBB;12444763;USD;2023;FY;2023-12-31;2024-03-15;2025-03-14;2679902;2679902;14756000;921000;198000;424000;-812000;15487000;-415000;-53249000;;-38988000;-4013000;2586000;-1425000;1158000;;-22343000
CSBB;12444763;USD;2024;FY;2024-12-31;2025-03-14;2026-03-16;2661308;2661308;10012000;941000;7244000;-390000;-1920000;15887000;-1960000;-20431000;;-8301000;-4204000;-10648000;-762000;1846000;;9432000
CSTR;9075788;USD;2020;FY;2020-12-31;2021-03-05;2023-03-03;20162038;20185589;24696000;3201000;11479000;1329772000;-1349970000;19178000;4686000;-163626000;63482000;-265538000;-4035000;29387000;-1374000;422530000;;176170000
CUBI;7962764;USD;2023;FY;2023-12-31;2024-02-29;2026-02-27;31435647;32158788;250143000;31813000;74611000;-274102000;42264000;124729000;-38695000;2376237000;;3157723000;-14636000;400000000;-36694000;108088000;;3390540000
CUBI;7962764;USD;2024;FY;2024-12-31;2025-02-28;2026-02-27;31509179;32719134;181469000;33552000;73451000;-10604000;-132811000;145057000;-46621000;-1657637000;-5140000;-1006091000;-15147000;-95000000;-17482000;800619000;;-60415000
CVBF;6767555;USD;2023;FY;2023-12-31;2024-02-28;2026-02-27;138333000;138462000;;;;295632000;;295632000;-4521000;181669000;9615000;536277000;-111686000;1075000000;-21006000;-754084000;;77825000
CVBF;6767555;USD;2024;FY;2024-12-31;2025-02-28;2026-02-27;138415000;138579000;;;;249765000;;249765000;-5135000;360480000;;852746000;-111830000;-1570000000;-2252000;-1179098000;;-76587000
CVLY;9075932;USD;2020;FY;2020-12-31;2021-03-09;2022-03-08;9782000;9809000;8442000;3424433;14675000;74580000;-5735541;11914000;-1141000;;;-72455000;-5081000;-3783000;724000;264743000;;204202000
CVLY;9075932;USD;2021;FY;2021-12-31;2022-03-08;2023-03-14;9715000;9753000;14659000;3214034;3663000;95661000;2540000;27833000;-1036000;0;;-61384000;-5270000;-22779000;-8803000;243252000;;209701000
CVLY;9075932;USD;2022;FY;2022-12-31;2023-03-14;2024-03-12;9506000;9548000;20092000;3217217;2890000;24506000;37985;33958000;-1841000;10298000;;-244607000;-5714000;-9156000;1239000;-214406000;;-425055000
CVLY;9075932;USD;2023;FY;2023-12-31;2024-03-12;2024-03-12;9608000;9625000;24973000;1740000;-244000;4126000;-5171497;22071000;-221000;1336000;;-78362000;-6337000;44936000;1034000;-30457000;;-86748000
CWBC;12444735;USD;2020;FY;2020-12-31;2021-03-15;2023-03-31;8500000;8500000;8245000;821000;1223000;64561000;-59007000;15843000;-338000;;;-91567000;-1652000;40000000;4000;53603000;;-22121000
CZNC;9075792;USD;2020;FY;2020-12-31;2021-03-05;2023-03-16;14743386;14747048;19222000;1981000;3913000;159009000;-159341000;24784000;75080000;10060000;;96580000;-14469000;-128909000;-32000;-56469000;;64895000
CZNC;9075792;USD;2021;FY;2021-12-31;2022-02-22;2024-03-11;15765639;15771955;30554000;2130000;3661000;103753000;-105254000;34844000;-89000;81263000;;-103895000;-15976000;-13149000;-7374000;68882000;;-169000
CZNC;9075792;USD;2022;FY;2022-12-31;2023-03-16;2025-03-06;15630094;15635892;26618000;2389000;7255000;28627000;-30290000;34599000;-2641000;-166599000;;-234688000;-15865000;104304000;-9189000;151939000;;-48150000
CZNC;9075792;USD;2023;FY;2023-12-31;2024-03-11;2026-03-06;15241859;15241859;24148000;4213000;186000;26936000;-21935000;33548000;-1998000;-84722000;;-53311000;-15569000;29853000;-6784000;24843000;;5080000
CZNC;9075792;USD;2024;FY;2024-12-31;2025-03-06;2026-03-06;15262504;15262504;25958000;3828000;2195000;33723000;-32669000;33035000;-1613000;-41691000;;-20971000;-15530000;-4249000;-629000;58732000;;70796000
CZWI;12444747;USD;2021;FY;2021-09-30;2021-12-06;2022-03-02;10505000;10514000;12725000;3576000;7750000;-8567000;8301000;23785000;589000;-61494000;;-61788000;-2372000;7177000;-2820000;101603000;;63600000
CZWI;12444747;USD;2022;FY;2022-09-30;2022-11-30;2023-03-07;10505000;10514000;21266000;3851000;;-6490000;2972000;21599000;-3183000;-71395000;;-163172000;-2511000;-4000000;-7899000;69824000;;-71749000
CZWI;12444747;USD;2023;FY;2023-09-30;2023-12-05;2023-03-07;10481250;10481250;17761000;3806000;2125000;-1007000;6603000;29288000;-1791000;-99973000;;-119184000;-2742000;59585000;-1693000;77568000;;-12328000
DCOM;11795242;USD;2020;FY;2020-12-31;2021-03-15;2023-02-28;21537948;21538448;42318000;5069000;26165000;69351000;-82971000;59932000;-954000;-357628000;;-324385000;-23494000;121760000;81251000;352568000;;88115000
DFS;378127;USD;2020;FY;2020-12-31;2021-02-17;2023-02-23;307000000;307000000;1141000000;485000000;5134000000;-818000000;254000000;6196000000;-261000000;3045000000;;1514000000;-576000000;-4792000000;155000000;-1085000000;;6625000000
DFS;378127;USD;2021;FY;2021-12-31;2022-02-24;2024-02-23;307000000;307000000;5422000000;531000000;218000000;-102000000;-50000000;6019000000;-194000000;-4574000000;;40000000;-636000000;-2623000000;-524000000;-8316000000;;-2257000000
EBMT;10656742;USD;2021;FY;2021-12-31;2022-03-09;2023-03-08;6653935;6655735;14419000;3490000;;1076522000;-1037977000;56454000;-10839000;;358000;-232921000;-3018000;-12070000;-6279000;168099000;;-8368000
EBMT;10656742;USD;2022;FY;2022-12-31;2023-03-08;2024-03-06;7790188;7792467;10701000;4910000;2001000;556058000;-531759000;41911000;-15917000;41032000;13397000;-234724000;-4061000;94394000;-4747000;153190000;;-39623000
EBMT;10656742;USD;2023;FY;2023-12-31;2024-03-06;2025-03-14;7793352;7798243;10056000;5521000;1456000;344566000;-352253000;9346000;-13180000;;;-104103000;-4442000;106343000;-231000;97491000;;2734000
EBMT;10656742;USD;2024;FY;2024-12-31;2025-03-14;2026-03-09;7838822;7853792;9778000;6561000;518000;211823000;-200141000;28539000;-14020000;1413000;;-27797000;-4535000;-34807000;-419000;6272000;;7014000
EBSB;9076335;USD;2020;FY;2020-12-31;2021-03-01;2021-03-01;50283704;50418169;65051000;3961000;26456000;-11069000;-18562000;65837000;-565000;236857000;;244635000;-16292000;72000000;-17591000;197732000;;508204000
EBTC;7962932;USD;2023;FY;2023-12-31;2024-03-08;2025-03-07;12223626;12244036;38058000;6188000;9249000;4805000;-1143000;57157000;-6019000;-387218000;-59000;-222464000;-9734000;22552000;224000;-45690000;;-210997000
EBTC;7962932;USD;2024;FY;2024-12-31;2025-03-07;2025-03-07;12386669;12398062;38733000;5610000;1985000;10826000;-10623000;46531000;-2467000;-415473000;-4691000;-346541000;-10277000;127368000;400000;327259000;;27249000
EFSC;6767611;USD;2020;FY;2020-12-31;2021-02-19;2023-02-24;26954000;26989000;74384000;11825000;65398000;208128000;-224221000;135514000;652000;-702355000;62114000;-702829000;-19795000;345070000;-15347000;937762000;;370447000
EFSC;6767611;USD;2021;FY;2021-12-31;2022-02-25;2024-02-26;34436000;34496000;133055000;11837000;13385000;37024000;-180083000;15218000;3415000;302319000;212642000;130932000;-26153000;491560000;11399000;1337836000;;1483986000
EFSC;6767611;USD;2022;FY;2022-12-31;2023-02-24;2025-02-28;36898000;36947000;203043000;10940000;-611000;92224000;-88956000;216640000;4216000;-724607000;;-1383784000;-37643000;-558689000;-32923000;-563186000;;-1730330000
EFSC;6767611;USD;2023;FY;2023-12-31;2024-02-26;2026-02-27;37370000;37507000;194059000;9691000;36605000;25938000;-12033000;254260000;-6199000;-1174731000;;-1293804000;-41118000;1904920000;;1181214000;;141670000
EFSC;6767611;USD;2024;FY;2024-12-31;2025-02-28;2026-02-27;37357000;37567000;185266000;8983000;21508000;24795000;-5123000;235429000;-7475000;-350757000;;-784900000;-43300000;427784000;-29641000;880612000;;331141000
EFSI;12444431;USD;2020;FY;2020-12-31;2021-03-30;2022-03-30;3416514;3416514;11172000;1439000;1457000;-206000;-2856000;11006000;-393000;-191411000;;-201474000;-3198000;;-1627000;236729000;;46261000
EFSI;12444431;USD;2021;FY;2021-12-31;2022-03-30;2023-03-29;3444062;3444062;11021000;1668000;1483000;-1596000;3883000;16459000;-520000;-150660000;;-193217000;-3261000;;30000;160906000;;-15852000
EGBN;7962666;USD;2022;FY;2022-12-31;2023-03-01;2025-02-27;32037099;32037099;140930000;3319000;266000;363285000;-312898000;194902000;-2113000;-601603000;;-927077000;-55776000;675001000;-32242000;-670193000;;-1402368000
EMYB;12444419;USD;2020;FY;2020-12-31;2021-03-12;2022-03-18;7469952;7523595;12810000;760000;2520000;-742000;-1714000;13634000;-1983000;-129483000;;-173772000;-1644000;47378000;-702000;252059000;;91921000
EMYB;12444419;USD;2021;FY;2021-12-31;2022-03-18;2023-03-17;7517669;7554785;16786000;864000;915000;-2747000;-569000;15249000;-1512000;-18279000;;-156210000;-2253000;-50794000;-609000;178746000;;37785000
EMYB;12444419;USD;2022;FY;2022-12-31;2023-03-17;2024-03-28;7508105;7545469;17702000;883000;895000;-733000;1164000;19911000;-719000;-100686000;;-161316000;-2644000;-14651000;89000;39008000;;-102397000
EMYB;12444419;USD;2023;FY;2023-12-31;2024-03-28;2025-03-17;7599729;7599729;12656000;915000;;-755000;6682000;19498000;-806000;-45372000;;3255000;-3041000;35000000;-63000;-11125000;;11628000
EMYB;12444419;USD;2024;FY;2024-12-31;2025-03-17;2026-03-16;7614258;7614258;10440000;1147000;-433000;-1450000;240000;9944000;-739000;-14554000;;-36153000;-3199000;-19375000;-2000;43808000;;17599000
EQBK;7962924;USD;2020;FY;2020-12-31;2021-03-09;2023-03-09;15098512;15098512;-74970000;7624000;24255000;210088000;-123376000;43621000;-7537000;-11144000;25925000;96004000;;-250432000;-18732000;51782000;;191407000
EQBK;7962924;USD;2021;FY;2021-12-31;2022-03-09;2024-03-07;15019221;15306431;52480000;8428000;-8480000;136152000;-85882000;102698000;-4916000;-156494000;173863000;-315339000;-1149000;-24489000;-14248000;191897000;;-20744000
EQBK;7962924;USD;2022;FY;2022-12-31;2023-03-09;2025-03-07;16865167;17141174;57688000;8652000;125000;52601000;-44993000;74073000;26573000;-185600000;;-214184000;-5564000;138864000;-30383000;-15415000;;-155526000
EQBK;7962924;USD;2023;FY;2023-12-31;2024-03-07;2026-03-06;15535772;15648842;7821000;8034000;1873000;77612000;-18813000;76527000;-15302000;-25512000;;232170000;-6614000;101136000;-16913000;-34026000;;274671000
ESQ;7962956;USD;2023;FY;2023-12-31;2024-03-29;2026-03-13;7716367;8345586;41011000;707000;4525000;-2917000;-925000;42401000;-605000;-209660000;;-215404000;-3719000;-2000;-176000;174090000;;1087000
ESQ;7962956;USD;2024;FY;2024-12-31;2025-03-17;2026-03-13;7817626;8487041;43658000;880000;4700000;3159000;-10185000;42212000;-714000;-189476000;;-308266000;-4846000;-2000;505000;227174000;;-38880000
ESSA;9075950;USD;2021;FY;2021-09-30;2021-12-14;2022-12-14;9945528;9947504;16424000;1326000;2700000;-284000;-791000;19375000;469000;76450000;;31793000;-4694000;-125877000;-7078000;-48139000;;3029000
ESSA;9075950;USD;2022;FY;2022-09-30;2022-12-14;2023-12-14;9761437;9765157;20070000;1312000;;1005000;320000;22707000;-102000;-93586000;;-128129000;-5273000;230810000;-1884000;-25587000;;-131009000
EVBN;9075954;USD;2020;FY;2020-12-31;2021-03-19;2023-03-03;5232881;5268560;;;;70052000;-62265000;7787000;-3340000;-191684000;-6490000;-213391000;-5991000;3855000;717000;264351000;;58747000
EWBC;335579;USD;2020;FY;2020-12-31;2021-02-26;2023-02-27;142336000;142991000;567797000;119908000;;292234000;-287295000;692644000;295000;-3983019000;;-6863436000;-158222000;-274122000;-143640000;6898608000;29006000;756822000
EWBC;335579;USD;2021;FY;2021-12-31;2022-02-28;2024-02-29;141564000;141564000;872981000;156792000;;88110000;50539000;1168422000;54338000;-2387601000;;-9117204000;-188762000;-427349000;2573000;7835045000;8701000;-105036000
FBC;9076327;USD;2020;FY;2020-12-31;2021-02-26;2022-03-01;56094542;56505813;538000000;76000000;149000000;-49828000000;-763000000;-49828000000;-54000000;-4650000000;414000000;44785000000;-11000000;432000000;-150000000;5241000000;;198000000
FBC;9076327;USD;2021;FY;2021-12-31;2022-03-01;2022-03-01;52792931;53519086;533000000;84000000;-112000000;-52358000000;-361000000;-52214000000;-33000000;2771000000;79000000;57016000000;-13000000;-2066000000;;-4364000000;;438000000
FBK;6767691;USD;2021;FY;2021-12-31;2022-02-25;2024-02-27;47431102;47955880;190301000;13889000;;6193391000;-6342686000;54895000;-6102000;-309766000;;-849558000;-20866000;-66483000;-6115000;1274505000;;479842000
FBMS;7962650;USD;2020;FY;2020-12-31;2021-03-12;2023-03-01;20718544000;20822650000;52505000;12354000;25151000;294885000;-333710000;51185000;-2982000;-131589000;29245000;-259128000;-8589000;-45447000;-8561000;601633000;;393690000
FCBC;7962836;USD;2020;FY;2020-12-31;2021-03-12;2023-02-22;17781748;17815380;35926000;5908000;12668000;-1996000;-6662000;45844000;-334000;-69259000;;17798000;-17876000;-677000;-21872000;175910000;;239552000
FCBC;7962836;USD;2021;FY;2021-12-31;2022-03-03;2024-03-08;17335615;17402936;51168000;5917000;-8471000;-1699000;1300000;48215000;-422000;27467000;;35350000;-18059000;572000;-28344000;137313000;;220878000
FCBC;7962836;USD;2022;FY;2022-12-31;2023-02-22;2025-03-07;16519848;16562257;46662000;5600000;6572000;-3481000;3671000;59024000;382000;-236620000;-59039000;-536779000;-18515000;338000;-21139000;-28838000;;-506593000
FCBC;7962836;USD;2023;FY;2023-12-31;2024-03-08;2026-03-06;17996373;18027151;48020000;5685000;7985000;-4095000;4233000;61828000;-943000;64538000;176684000;288662000;-21089000;-755000;-22947000;-404916000;;-54426000
FCBC;7962836;USD;2024;FY;2024-12-31;2025-03-07;2026-03-06;18349498;18430206;51604000;6480000;3597000;-3643000;-299000;57739000;-1678000;152942000;;263910000;-22017000;-213000;-7307000;-60615000;;261034000
FCBP;6767413;USD;2020;FY;2020-12-31;2021-03-15;2021-03-15;11705684;11705684;28951000;1852000;5900000;201061000;-209876000;27888000;-1237000;-498556000;;-513288000;-11699000;252119000;-905000;559980000;;74580000
FCCO;9075956;USD;2020;FY;2020-12-31;2021-03-12;2023-03-22;7446000;7482000;10099000;2000000;3663000;-32238000;-570000;-17046000;-1087000;-106874000;;-171521000;-3573000;-211000;361000;205867000;;17300000
FCCY;9076301;USD;2020;FY;2020-12-31;2021-03-15;2021-03-15;10220319;10260965;18086000;2053000;6698000;-24610000;4432000;6659000;-421000;-217616000;;-198878000;-3676000;-82225000;-204000;199372000;;7153000
FCF;998470;USD;2020;FY;2020-12-31;2021-03-01;2023-02-28;96130751;97758965;73447000;11653000;56718000;381748000;-417867000;105699000;-2084000;-554597000;;-483138000;-42982000;-85569000;-20683000;612164000;;234725000
FCF;998470;USD;2021;FY;2021-12-31;2022-03-01;2024-02-29;94233152;95020353;138257000;11442000;-1376000;397400000;-380677000;165046000;-2841000;-85253000;;-565305000;-43611000;-30207000;-31079000;439050000;;38791000
FCNCA;446741;USD;2020;FY;2020-12-31;2021-02-24;2023-02-24;10056654;10056654;492000000;133000000;58000000;897000000;-1204000000;376000000;-132000000;-7041000000;-60000000;-9908000000;-30000000;659000000;6000000;9517000000;;-15000000
FCNCA;446741;USD;2021;FY;2021-12-31;2022-02-25;2024-02-23;9816405;9816405;547000000;143000000;-37000000;927000000;-1864000000;-284000000;-106000000;-4344000000;;-7568000000;-42000000;-54000000;;7828000000;;-24000000
FDBC;9075818;USD;2020;FY;2020-12-31;2021-03-19;2023-03-20;4586224;4586224;13035000;4539000;5250000;154613000;-177141000;296000;-267000;-132541000;53004000;-164243000;-5378000;-55549000;219000;217630000;;53683000
FDBC;9075818;USD;2021;FY;2021-12-31;2022-03-23;2023-03-20;5321687;5321687;24008000;5423000;2000000;159416000;-183648000;7199000;34000;7134000;-3746000;-303243000;-6608000;-21984000;270000;323575000;;27531000
FDBC;9075818;USD;2022;FY;2022-12-31;2023-03-20;2024-03-20;4589789;4622340;30021000;5255000;2100000;79858000;-67807000;49427000;-3358000;-116055000;;-115388000;-7709000;9831000;-1031000;-1825000;;-67786000
FDBC;9075818;USD;2023;FY;2023-12-31;2024-03-20;2025-03-13;5676711;5716702;18210000;5703000;1326000;57820000;-53367000;29692000;-6108000;-122032000;;-35275000;-6750000;103589000;63000;88441000;;82858000
FDBC;9075818;USD;2024;FY;2024-12-31;2025-03-13;2026-03-13;5732532;5772697;20794000;5668000;1465000;57464000;-55828000;29563000;-4389000;-114540000;;-113588000;-8849000;-118320000;201000;55429000;;-28596000
FFIC;7962962;USD;2020;FY;2020-12-31;2021-03-16;2023-03-14;29301000;29301000;34674000;6320000;23129000;7802000;-647000;71278000;-2309000;-226455000;31504000;93098000;-24813000;-197030000;-3877000;-56775000;;107601000
FFIN;998435;USD;2020;FY;2020-12-31;2021-02-22;2023-02-23;142032420;142544991;202034000;12793000;19517000;28929000;-52605000;210668000;-14994000;-529144000;61028000;-1262202000;-70318000;891879000;-3291000;1498014000;;446480000
FFIN;998435;USD;2021;FY;2021-12-31;2022-02-22;2024-02-26;142437804;143251521;227562000;13061000;-1139000;71933000;43734000;355151000;-18382000;-211786000;;-2611650000;-79712000;1334197000;3985000;2056003000;;-200496000
FFIN;998435;USD;2022;FY;2022-12-31;2023-02-23;2025-02-21;142032420;142544991;234475000;12762000;17427000;65270000;-5664000;324270000;-14598000;-1049925000;;-838005000;-91315000;128816000;-3234000;315825000;;-197910000
FFIN;998435;USD;2023;FY;2023-12-31;2024-02-26;2026-02-25;142688585;142938977;198977000;12578000;10631000;62107000;529000;284822000;-13480000;-708432000;;127292000;-99965000;520569000;-603000;-206201000;;205913000
FFIN;998435;USD;2024;FY;2024-12-31;2025-02-21;2026-02-25;142822880;143232520;223511000;13427000;13821000;48972000;9910000;309641000;-14822000;-765702000;;-736878000;-102913000;841357000;3160000;654059000;;226822000
FFNW;9076024;USD;2023;FY;2023-12-31;2024-03-13;2025-03-20;9126209;9152617;6305000;2028000;-208000;1318000;-5272000;4171000;-507000;-9134000;;2727000;;;;;;6898000
FFNW;9076024;USD;2024;FY;2024-12-31;2025-03-20;2025-03-20;9183900;9238016;1072000;1915000;-50000;639000;-2451000;1125000;-414000;35789000;;94608000;;;;;;95733000
FFWM;9075802;USD;2020;FY;2020-12-31;2021-02-26;2023-02-28;44639430;44900805;84369000;3205000;26000;7151000;-26306000;68445000;-2862000;-241157000;;-25899000;-12504000;-474000000;-1909000;521774000;;564320000
FFWM;9075802;USD;2021;FY;2021-12-31;2022-02-28;2024-02-28;45272183;45459540;109511000;4897000;10547000;-11184000;-15837000;97934000;-3207000;-1042874000;;-83883000;-16173000;-234404000;1037000;477999000;;492050000
FFWM;9075802;USD;2022;FY;2022-12-31;2023-02-28;2025-03-17;56422450;56490060;110512000;4036000;;9655000;-22713000;101490000;-1195000;-3318750000;;-3239609000;-24830000;947030000;-4605000;2672856000;;-465263000
FFWM;9075802;USD;2023;FY;2023-12-31;2024-02-28;2026-03-16;56426093;56426093;-199064000;4426000;;209300000;-6676000;7986000;-8211000;540971000;;132030000;-9020000;520733000;-380000;530119000;;670135000
FGBI;9075974;USD;2020;FY;2020-12-31;2021-03-16;2022-03-16;11786916;11786916;20318000;3781000;14877000;-11949000;-3268000;23759000;-6186000;-322745000;;-128455000;-6234000;29900000;;336876000;;232180000
FGBI;9075974;USD;2021;FY;2021-12-31;2022-03-16;2023-03-16;10716796;10716796;27297000;4775000;2055000;-1260000;-6347000;26520000;-2127000;-320502000;;-452645000;-7777000;-67003000;33058000;388452000;;-37673000
FGBI;9075974;USD;2022;FY;2022-12-31;2023-03-16;2024-03-15;10716796;10716796;28884000;4109000;3656000;37000;179000;36865000;-2573000;-369874000;;-467911000;-9187000;134220000;;252333000;;-178713000
FGBI;9075974;USD;2023;FY;2023-12-31;2024-03-15;2025-03-17;10716796;10716796;9219000;4026000;3714000;744000;4011000;21714000;-14531000;-243052000;;-206088000;-9698000;92006000;20000000;387610000;;203236000
FGBI;9075974;USD;2024;FY;2024-12-31;2025-03-17;2026-03-31;12501035;12501035;12448000;4432000;20034000;-17193000;14008000;33729000;11937000;32311000;;-142069000;-7455000;-73618000;;386093000;;277753000
FHB;210774;USD;2020;FY;2020-12-31;2021-02-25;2023-02-24;129890225;130220077;185754000;63071000;121718000;298532000;-459569000;209506000;-33390000;-105029000;;-2103763000;-135099000;-400009000;-4688000;2241184000;;346927000
FHB;210774;USD;2021;FY;2021-12-31;2022-02-25;2024-02-28;127893011;128512257;265735000;51844000;-39000000;123480000;15066000;417125000;-16437000;287082000;;-2376319000;-134133000;-200010000;-74453000;2176719000;;217525000
FHB;210774;USD;2022;FY;2022-12-31;2023-02-24;2025-02-28;127893011;128512257;265685000;56747000;1392000;50492000;56298000;430614000;4009000;-1149914000;;-965100000;-132588000;75000000;-9099000;-197359000;;-731845000
FHN;1234769;USD;2021;FY;2021-12-31;2022-03-01;2024-02-23;537000000;542000000;1010000000;117000000;-310000000;-200000000;1889000000;2506000000;-11000000;-3031000000;;-6382000000;-366000000;-183000000;-254000000;4016000000;;140000000
FHN;1234769;USD;2022;FY;2022-12-31;2023-03-01;2025-02-27;535033000;566004000;912000000;85000000;95000000;245000000;954000000;2291000000;-10000000;10319000000;;8333000000;-367000000;;518000000;-11255000000;;-631000000
FIBK;6767459;USD;2020;FY;2020-12-31;2021-03-01;2023-02-24;63611891;63729470;161200000;45100000;;1493300000;-1431300000;268300000;-30200000;;;-1869800000;-128600000;492300000;-115700000;2801500000;;1200000000
FIBK;6767459;USD;2021;FY;2021-12-31;2022-02-25;2024-02-29;61650312;61741828;192100000;44400000;;879600000;-833800000;282300000;-10300000;;;-2120000000;-101600000;-40300000;-5000000;1905700000;;68000000
FINW;12444710;USD;2020;FY;2020-12-31;2021-03-30;2022-03-30;8669724;9108163;11198000;1012000;5234000;825000;1316000;19585000;-592000;-128734000;;-130216000;;101007000;-227000;123235000;;12604000
FINW;12444710;USD;2021;FY;2021-12-31;2022-03-30;2023-03-30;8669724;9108163;31583000;1038000;8039000;6281220000;-6331112000;-9232000;-2334000;35622000;;24257000;;-99957000;35887000;23346000;;38371000
FINW;12444710;USD;2022;FY;2022-12-31;2023-03-30;2024-03-25;12729898;13357022;25115000;2107000;13519000;23182000;-2770000;61153000;-7213000;-17330000;;-35834000;;-736000;-876000;-10506000;;14813000
FISI;9075822;USD;2020;FY;2020-12-31;2021-03-15;2023-03-09;16022000;16063000;38332000;7893000;27184000;90426000;-120380000;43455000;-3745000;-390932000;;-531071000;-17957000;-235200000;-209000;468547000;;-19069000
FISI;9075822;USD;2021;FY;2021-12-31;2022-03-10;2024-03-13;15841000;15937000;77697000;8049000;-8336000;87771000;-92219000;72962000;-5893000;-90058000;-1420000;-633422000;-18451000;24700000;-9278000;545694000;;-14766000
FISI;9075822;USD;2022;FY;2022-12-31;2023-03-09;2025-03-12;15384000;15471000;56573000;8112000;13311000;29576000;26001000;133573000;-8369000;-376251000;;-325160000;-19053000;175000000;-15340000;242941000;;51354000
FITB;378145;USD;2020;FY;2020-12-31;2021-02-26;2023-02-24;714729585;719735415;1427000000;492000000;1097000000;12611000000;-15256000000;371000000;-272000000;-294000000;-4000000;-31902000000;-858000000;-60000000;346000000;31400000000;;-131000000
FITB;378145;USD;2021;FY;2021-12-31;2022-02-25;2024-02-27;688370000;697532000;2770000000;349000000;-377000000;17089000000;-17127000000;2704000000;-290000000;-3003000000;-297000000;-7968000000;-897000000;-3234000000;-1393000000;5111000000;;-153000000
FITB;378145;USD;2022;FY;2022-12-31;2023-02-24;2025-02-24;688370000;697532000;2446000000;436000000;563000000;13012000000;-10029000000;6428000000;-346000000;-8837000000;-851000000;-4871000000;-927000000;6021000000;-100000000;-1085000000;;472000000
FITB;378145;USD;2023;FY;2023-12-31;2024-02-27;2026-02-24;684172079;687678291;2349000000;462000000;515000000;5072000000;-3914000000;4484000000;-484000000;3802000000;;-9463000000;-1060000000;748000000;-200000000;4655000000;;-324000000
FITB;378145;USD;2024;FY;2024-12-31;2025-02-24;2026-02-24;682160985;687300837;2314000000;495000000;530000000;4358000000;-4868000000;2829000000;-390000000;-3121000000;6000000;1034000000;-1176000000;-465000000;-625000000;-3991000000;;-128000000
FKYS;12444425;USD;2020;FY;2020-12-31;2021-03-15;2022-03-14;5841000;5841000;11837000;1131000;1200000;15650000;-31775000;-1957000;-217000;-57415000;;-135264000;-6308000;-20173000;1298000;150677000;;13456000
FKYS;12444425;USD;2021;FY;2021-12-31;2022-03-14;2023-03-15;5908000;5908000;14688000;1038000;860000;31643000;-32974000;15255000;-464000;-29960000;;-111345000;-6617000;-2127000;1511000;133248000;;37158000
FKYS;12444425;USD;2022;FY;2022-12-31;2023-03-15;2024-03-29;5908000;5908000;14024000;1056000;;8925000;-7477000;16528000;-1892000;-103362000;;-93634000;-6690000;116031000;1635000;26506000;;-50600000
FKYS;12444425;USD;2023;FY;2023-12-31;2024-03-29;2025-03-26;6054000;6054000;5560000;798000;-217000;5437000;-5673000;5905000;-1656000;-52480000;;-76833000;-6780000;97043000;;77203000;;6275000
