Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Net Income/Starting Line;Depreciation & Amortization;Provision for Loan Losses;Non-Cash Items;Change in Working Capital;Net Cash from Operating Activities;Change in Fixed Assets & Intangibles;Net Change in Loans & Interbank;Net Cash from Acquisitions & Divestitures;Net Cash from Investing Activities;Dividends Paid;Cash from (Repayment of) Debt;Cash from (Repurchase of) Equity;Net Cash from Financing Activities;Effect of Foreign Exchange Rates;Net Change in Cash
STT;378219;USD;2020;FY;2020-12-31;2021-02-19;2023-02-16;352865000;357106000;2420000000;234000000;88000000;1078000000;-288000000;3532000000;-560000000;-51229000000;;-65534000000;-889000000;6224000000;-1093000000;62167000000;;165000000
STT;378219;USD;2021;FY;2021-12-31;2022-02-17;2024-02-15;365798000;371685000;2693000000;245000000;-33000000;1093000000;-10708000000;-6710000000;-811000000;5995000000;-333000000;-2172000000;-866000000;-5797000000;461000000;9046000000;;164000000
STT;378219;USD;2022;FY;2022-12-31;2023-02-16;2025-02-13;365798000;371685000;2774000000;238000000;20000000;858000000;8064000000;11954000000;-734000000;4884000000;;6816000000;-972000000;3735000000;-1623000000;-18431000000;;339000000
STXB;9076265;USD;2020;FY;2020-12-31;2021-03-05;2022-03-07;17567117;17649463;31311000;7806000;11257000;19631000;-16473000;53532000;-10158000;-299635000;-105274000;-615316000;-1212000;146801000;-14787000;498861000;;-62923000
STXB;9076265;USD;2021;FY;2021-12-31;2022-03-07;2022-03-07;17262221;17781812;42052000;7423000;3711000;15026000;-13801000;54411000;216000;60095000;2065000;-156012000;-8766000;-177239000;2147000;144355000;;42754000
SYBT;6767647;USD;2020;FY;2020-12-31;2021-02-26;2023-02-24;22563000;22768000;58869000;9743000;18418000;-19267000;9362000;77125000;-4218000;-694539000;;-804718000;-24481000;-31834000;-2265000;795814000;;68221000
SYBT;6767647;USD;2021;FY;2021-12-31;2022-02-25;2024-02-27;24898000;25156000;74645000;11329000;-753000;24582000;-7703000;102100000;-4581000;99519000;24981000;-78874000;-28198000;-107707000;-3826000;620021000;;643247000
SYBT;6767647;USD;2022;FY;2022-12-31;2023-02-24;2025-02-27;28672000;28922000;93294000;20658000;10257000;8957000;-24424000;108742000;11284000;-301481000;349456000;-384425000;-33301000;36871000;-5721000;-518142000;;-793825000
SYBT;6767647;USD;2023;FY;2023-12-31;2024-02-27;2026-02-26;29212000;29343000;107748000;21939000;13796000;103711000;-140491000;106703000;-5999000;-573599000;;-424049000;-34575000;173712000;-2695000;415938000;;98592000
SYBT;6767647;USD;2024;FY;2024-12-31;2025-02-27;2026-02-26;29288000;29421000;114539000;13354000;9725000;111629000;-106379000;142868000;-9625000;-738686000;;-677057000;-35835000;103649000;-4217000;559250000;;25061000
SYF;493399;USD;2020;FY;2020-12-31;2021-02-11;2023-02-09;589000000;590800000;1385000000;383000000;5310000000;-602000000;1011000000;7487000000;;1422000000;;-498000000;-562000000;-4783000000;-310000000;-8031000000;;-1042000000
