ticker,revenue_usd,employees,sector,industry,market_cap,fetch_error
CHTR,54395998208,91900,Communication Services,Telecom Services,19646515200,
CVX,209383997440,43039,Energy,Oil & Gas Integrated,419900817408,
CMG,12423758848,140000,Consumer Cyclical,Restaurants,45808132096,
CB,61895999488,45000,Financial Services,Insurance - Property & Casualty,130496806912,
CHD,6229100032,5550,Consumer Defensive,Household & Personal Products,22332747776,
CIEN,6020894208,8898,Technology,Communication Equipment,49567752192,
CI,282382008320,65669,Healthcare,Healthcare Plans,74188161024,
CINF,13953999872,5705,Financial Services,Insurance - Property & Casualty,26060572672,
CTAS,11264760832,48100,Industrials,Specialty Business Services,80634167296,
CSCO,63324999680,82400,Technology,Communication Equipment,442082263040,
C,81711996928,219000,Financial Services,Banks - Diversified,232861794304,
CFG,8160999936,17727,Financial Services,Banks - Regional,29684541440,
CLX,6720000000,9200,Consumer Defensive,Household & Personal Products,10612905984,
CME,6757199872,3875,Financial Services,Financial Data & Stock Exchanges,99078471680,
CMS,8812999680,8350,Utilities,Utilities - Regulated Electric,21056706560,
KO,50128998400,65900,Consumer Defensive,Beverages - Non-Alcoholic,379872051200,
CTSH,21642000384,356700,Technology,Information Technology Services,27026653184,
COHR,7118180864,51478,Technology,Scientific & Technical Instruments,59801288704,
COIN,6043752960,4951,Financial Services,Financial Data & Stock Exchanges,46240059392,
CL,21046999040,33600,Consumer Defensive,Household & Personal Products,69194604544,
CMCSA,124903997440,179000,Communication Services,Telecom Services,89425649664,
FIX,11228023808,22700,Industrials,Engineering & Construction,59507273728,
COP,64459001856,9600,Energy,Oil & Gas E&P,165003706368,
ED,17688999936,15407,Utilities,Utilities - Regulated Electric,39371956224,
STZ,9056700416,9400,Consumer Defensive,Beverages - Brewers,20914993152,
CEG,31270000640,15291,Utilities,Utilities - Independent Power Producers,100889026560,
COO,4236900096,15000,Healthcare,Medical Instruments & Supplies,10251272192,
CPRT,4666208768,,Industrials,Specialty Business Services,27728054272,
GLW,16963999744,67200,Technology,Electronic Components,143335014400,
CPAY,5020502016,11800,Technology,Software - Infrastructure,26803562496,
CTVA,17812000768,21500,Basic Materials,Agricultural Inputs,55977746432,
CSGP,3556000000,8441,Real Estate,Real Estate Services,12342318080,
COST,293586993152,341000,Consumer Defensive,Discount Stores,401246322688,
CRH,38632001536,83032,Basic Materials,Building Materials,58910941184,
CRWD,5396145152,11706,Technology,Software - Infrastructure,211688292352,
CCI,4160999936,1500,Real Estate,REIT - Specialty,33045940224,
CSX,14512000000,22200,Industrials,Railroads,90678648832,
CMI,34708000768,67400,Industrials,Specialty Industrial Machinery,76644696064,
CVS,412644999168,219000,Healthcare,Healthcare Plans,121067339776,
DHR,25106999296,58000,Healthcare,Diagnostics & Research,140695633920,
DRI,13210900480,209931,Consumer Cyclical,Restaurants,23831279616,
DDOG,3966725120,8100,Technology,Software - Application,79430983680,
DVA,14009646080,78000,Healthcare,Medical Care Facilities,11582889984,
DECK,5527288832,6000,Consumer Cyclical,Footwear & Accessories,11067498496,
DE,47927001088,73100,Industrials,Farm & Heavy Construction Machinery,182196666368,
DELL,151197007872,97000,Technology,Computer Hardware,360690188288,
DAL,68287000576,103000,Industrials,Airlines,52550660096,
DVN,18780999680,2200,Energy,Oil & Gas E&P,55253000192,
DXCM,4969200128,11000,Healthcare,Medical Devices,31332263936,
FANG,16248000512,1762,Energy,Oil & Gas E&P,57395654656,
DLR,6757036032,4282,Real Estate,REIT - Specialty,71219822592,
DG,43637997568,194000,Consumer Defensive,Discount Stores,27484438528,
DLTR,20068700160,150000,Consumer Defensive,Discount Stores,22172272640,
D,18119000064,15200,Utilities,Utilities - Regulated Electric,56606289920,
DPZ,5027814912,6200,Consumer Cyclical,Restaurants,10308269056,
DASH,15891000320,31400,Consumer Cyclical,Internet Retail,87504519168,
DOV,8420563968,24000,Industrials,Specialty Industrial Machinery,25461297152,
DOW,41318998016,32800,Basic Materials,Chemicals,20969551872,
DHI,33350000640,14341,Consumer Cyclical,Residential Construction,38568009728,
DTE,16465000448,9592,Utilities,Utilities - Regulated Electric,27588315136,
DUK,32803000320,26441,Utilities,Utilities - Regulated Electric,93112033280,
DD,6988000256,15000,Basic Materials,Specialty Chemicals,17149107200,
ETN,30026000384,97303,Industrials,Specialty Industrial Machinery,165213700096,
EBAY,12007999488,12300,Consumer Cyclical,Internet Retail,47948750848,
ECHO,14653925376,12100,Communication Services,Telecom Services,27056306176,
ECL,16842500096,48000,Basic Materials,Specialty Chemicals,77421150208,
EIX,19423000576,13725,Utilities,Utilities - Regulated Electric,21549582336,
EW,6512300032,16000,Healthcare,Medical Devices,48630870016,
ELV,201113993216,96129,Healthcare,Healthcare Plans,90807508992,
EME,18597775360,44000,Industrials,Engineering & Construction,34434834432,
EMR,18635999232,71000,Industrials,Specialty Industrial Machinery,84891582464,
ETR,13482226688,12000,Utilities,Utilities - Regulated Electric,50324303872,
EOG,26720999424,3400,Energy,Oil & Gas E&P,77294624768,
EQT,9293919232,1523,Energy,Oil & Gas E&P,33821650944,
EFX,6444499968,15000,Industrials,Consulting Services,19854948352,
EQIX,9904000000,13716,Real Estate,REIT - Specialty,102393577472,
ERIE,4119469056,6667,Financial Services,Insurance Brokers,12812585984,
ESS,1980775936,1686,Real Estate,REIT - Residential,18812475392,
EL,15048999936,37950,Consumer Defensive,Household & Personal Products,35137875968,
EG,16824999936,3064,Financial Services,Insurance - Reinsurance,14252378112,
EVRG,6093899776,4691,Utilities,Utilities - Regulated Electric,18818893824,
ES,13998372864,10731,Utilities,Utilities - Regulated Electric,25809752064,
EXC,25326000128,20571,Utilities,Utilities - Regulated Electric,44465762304,
EXE,12657999872,1600,Energy,Oil & Gas E&P,21953505280,
EXPE,15699999744,16000,Consumer Cyclical,Travel Services,33705799680,
EXPD,12036001792,20389,Industrials,Integrated Freight & Logistics,25036195840,
EXR,3511115008,8393,Real Estate,REIT - Industrial,30377498624,
XOM,361060007936,57900,Energy,Oil & Gas Integrated,682536271872,
FFIV,3309331968,6512,Technology,Software - Infrastructure,23313977344,
FDS,2438458880,12694,Financial Services,Financial Data & Stock Exchanges,9236726784,
FICO,2393574912,3876,Technology,Software - Application,21282095104,
FAST,8749400064,22230,Industrials,Industrial Distribution,56594579456,
FRT,1335422976,314,Real Estate,REIT - Retail,9997160448,
FDX,94720000000,300000,Industrials,Integrated Freight & Logistics,73838804992,
FDXF,8794999808,40000,Industrials,Integrated Freight & Logistics,19184670720,
FERG,31446200320,35000,Industrials,Industrial Distribution,43050967040,
FIS,12199999488,44000,Technology,Information Technology Services,19669022720,
FITB,10094999552,25197,Financial Services,Banks - Regional,49625161728,
FSLR,5378071040,7900,Technology,Solar,22464409600,
FE,15635999744,11186,Utilities,Utilities - Regulated Electric,26692661248,
FISV,21193000000,,,,27428528128,manually backfilled from yf.Ticker('FISV').income_stmt Total Revenue (FY2025) -- .info returns null revenue/employees for this ticker likely due to the 2023 FISV->FI rename; sector/industry left blank since estimate_tier2.py uses GICS from sp500_constituents.csv instead
FLEX,29266999296,149686,Technology,Electronic Components,42769477632,
F,187972993024,169000,Consumer Cyclical,Auto Manufacturers,55706714112,
FTNT,7527399936,15472,Technology,Software - Infrastructure,114510700544,
FTV,4315800064,10000,Technology,Scientific & Technical Instruments,16517312512,
FOXA,17125999616,10550,Communication Services,Entertainment,27723646976,
FOX,17125999616,10550,Communication Services,Entertainment,24574570496,
BEN,9324099584,10100,Financial Services,Asset Management,17096787968,
FCX,25867999232,29000,Basic Materials,Copper,102057762816,
GRMN,7671437824,23000,Technology,Scientific & Technical Instruments,54513631232,
IT,6463626240,19285,Technology,Information Technology Services,11340923904,
GE,50638999552,57000,Industrials,Aerospace & Defense,335817474048,
GEHC,21265999872,54000,Healthcare,Medical Devices,28876302336,
GEV,41366999040,78000,Industrials,Specialty Industrial Machinery,254953160704,
GEN,5079000064,3900,Technology,Software - Infrastructure,18113243136,
GNRC,4438731776,9400,Industrials,Specialty Industrial Machinery,11033600000,
GD,54861000704,117000,Industrials,Aerospace & Defense,96291299328,
GIS,18424600576,30000,Consumer Defensive,Packaged Foods,19166466048,
GM,185527992320,156000,Consumer Cyclical,Auto Manufacturers,77439139840,
GPC,25071538176,65000,Consumer Cyclical,Auto Parts,18429091840,
GILD,30456999936,17000,Healthcare,Drug Manufacturers - General,178206359552,
