ticker,security,upright_company_name,industry,revenue_musd,employee_count,net_impact_ratio_percent,rank_top_percent,environment_cost_cents_per_dollar,environment_benefit_cents_per_dollar,ghg_emissions_cost_cents_per_dollar,ghg_emissions_benefit_cents_per_dollar,non_ghg_emissions_cost_cents_per_dollar,society_cost_cents_per_dollar,society_benefit_cents_per_dollar,health_cost_cents_per_dollar,health_benefit_cents_per_dollar,knowledge_cost_cents_per_dollar,knowledge_benefit_cents_per_dollar,largest_cost,largest_benefit,upright_url
BALL,BALL CORPORATION,BALL CORPORATION,Industrial Manufacturing and Services,14554.0,21000.0,-130.0,98.0,-20.6,2.5,-11.6,0.7,-2.1,-0.2,7.5,-8.8,3.5,-1.6,0.0,GHG emissions 4.04M tons of GHG emissions,Taxes 10.9M days of primary education,https://uprightplatform.com/company/a11ea7d6-7a4d-44e3-a2f5-d7ffb7014fee/Ball%20Corporation/
INTU,INTUIT,INTUIT,Computer Software,14368.0,18200.0,39.0,33.0,-2.3,0.1,-1.1,0.1,-0.2,-0.1,9.4,-0.3,0.3,-5.5,3.5,Scarce human capital 12.9k scarce worker years,Taxes 12.8M days of primary education,https://uprightplatform.com/company/31e12b09-7965-40a2-a108-eb916db3071e/Intuit/
REGN,REGENERON PHARMACEUTICALS,REGENERON PHARMACEUTICALS,Pharmaceuticals and Biotechnology,14342.9,15410.0,22.0,49.0,-11.3,0.2,-5.0,0.1,-2.2,-1.3,7.1,-5.2,20.8,-4.2,0.0,Physical diseases 59.5k life years,Physical diseases 215k life years,https://uprightplatform.com/company/cfeb2e13-a397-4794-8ce5-35a822be3d5b/Regeneron%20Pharmaceuticals/
URI,UNITED RENTALS,UNITED RENTALS,Corporate Services,14332.0,27900.0,-2.0,67.0,-12.1,3.0,-6.3,1.5,-1.8,-0.2,12.1,-1.8,0.5,-1.8,0.0,GHG emissions 2.16M tons of GHG emissions,Societal infrastructure 22.4M long-haul train rides,https://uprightplatform.com/company/1dbf382f-9a12-45da-b932-f0ec88070b88/United%20Rentals/
WRB,W. R. BERKLEY,W. R. BERKLEY,Insurance,14202.15,8606.0,-12.0,73.0,-3.3,0.2,-1.6,0.1,-0.6,-0.6,5.7,-0.7,1.7,-4.2,0.3,Scarce human capital 9.91k scarce worker years,Taxes 5.72M days of primary education,https://uprightplatform.com/company/895243d2-7dfa-4bbc-824d-c4c6ba8b8770/W.%20R.%20Berkley/
OTIS,OTIS WORLDWIDE,OTIS WORLDWIDE,Industrial Manufacturing and Services,14181.0,72000.0,36.0,36.0,-7.5,3.6,-3.7,2.4,-0.8,-0.4,11.4,-1.2,1.5,-1.6,0.0,GHG emissions 1.26M tons of GHG emissions,Taxes 10.8M days of primary education,https://uprightplatform.com/company/d27f7c9f-31ac-4d9e-a451-09c4cea6f347/Otis%20Worldwide/
AJG,ARTHUR J. GALLAGHER,ARTHUR J. GALLAGHER,Insurance,13941.8,56000.0,10.0,58.0,-2.8,0.2,-1.5,0.1,-0.4,-0.7,7.3,-0.5,1.3,-4.5,0.7,Scarce human capital 10.2k scarce worker years,Taxes 6.31M days of primary education,https://uprightplatform.com/company/1101f818-cfda-4b66-bcdf-a9ceed6b4e02/Arthur%20J.%20Gallagher/
FOXA,FOX,FOX,Media,13920.0,10400.0,50.0,21.0,-3.7,0.1,-1.7,0.1,-0.5,-0.3,13.7,-6.0,7.8,-3.3,5.2,Scarce human capital 7.61k scarce worker years,Taxes 14.0M days of primary education,https://uprightplatform.com/company/a68a5918-e176-49e6-b770-ac1be485e95e/FOX/
FOX,FOX,FOX,Media,13920.0,10400.0,50.0,21.0,-3.7,0.1,-1.7,0.1,-0.5,-0.3,13.7,-6.0,7.8,-3.3,5.2,Scarce human capital 7.61k scarce worker years,Taxes 14.0M days of primary education,https://uprightplatform.com/company/a68a5918-e176-49e6-b770-ac1be485e95e/FOX/
NTRS,NORTHERN,NORTHERN,Financial Services,13919.8,23400.0,7.0,62.0,-2.3,0.2,-1.2,0.1,-0.3,-0.5,6.5,-0.4,0.9,-6.4,2.8,Scarce human capital 14.5k scarce worker years,Taxes 7.01M days of primary education,https://uprightplatform.com/company/5c4b2806-91ae-4cd2-ae37-2fee909c743c/Northern/
