company,row_type,category,metric,cost,benefit,unit,model_release,upright_url
EXELON,submetric,Health,Mental diseases,-0.1,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3385012f-9e41-46e7-9eec-e4595c7ad8f3/Exelon/
EXELON,submetric,Health,Nutrition,,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3385012f-9e41-46e7-9eec-e4595c7ad8f3/Exelon/
EXELON,submetric,Health,Relationships,,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3385012f-9e41-46e7-9eec-e4595c7ad8f3/Exelon/
EXELON,submetric,Health,Meaning & joy,-0.1,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3385012f-9e41-46e7-9eec-e4595c7ad8f3/Exelon/
EXELON,submetric,Environment,GHG emissions,-7.7,+8.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3385012f-9e41-46e7-9eec-e4595c7ad8f3/Exelon/
EXELON,submetric,Environment,Non-GHG emissions,-3.2,+2.3,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3385012f-9e41-46e7-9eec-e4595c7ad8f3/Exelon/
EXELON,submetric,Environment,Scarce natural resources,-1.5,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3385012f-9e41-46e7-9eec-e4595c7ad8f3/Exelon/
EXELON,submetric,Environment,Biodiversity,-3.6,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3385012f-9e41-46e7-9eec-e4595c7ad8f3/Exelon/
EXELON,submetric,Environment,Waste,-1.8,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/3385012f-9e41-46e7-9eec-e4595c7ad8f3/Exelon/
JOHNSON CONTROLS,category_total,Society,Society,-0.3,+19.9,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7a35a742-38f7-4ff7-9035-b6e7acda009c/Johnson%20Controls/
JOHNSON CONTROLS,category_total,Knowledge,Knowledge,-2.1,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7a35a742-38f7-4ff7-9035-b6e7acda009c/Johnson%20Controls/
JOHNSON CONTROLS,category_total,Health,Health,-0.6,+2.5,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7a35a742-38f7-4ff7-9035-b6e7acda009c/Johnson%20Controls/
JOHNSON CONTROLS,category_total,Environment,Environment,-6.4,+5.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7a35a742-38f7-4ff7-9035-b6e7acda009c/Johnson%20Controls/
JOHNSON CONTROLS,submetric,Society,Taxes,,+5.3,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7a35a742-38f7-4ff7-9035-b6e7acda009c/Johnson%20Controls/
JOHNSON CONTROLS,submetric,Society,Jobs,,+4.6,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7a35a742-38f7-4ff7-9035-b6e7acda009c/Johnson%20Controls/
JOHNSON CONTROLS,submetric,Society,Societal infrastructure,,+10.0,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7a35a742-38f7-4ff7-9035-b6e7acda009c/Johnson%20Controls/
JOHNSON CONTROLS,submetric,Society,Equality & human rights,-0.2,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7a35a742-38f7-4ff7-9035-b6e7acda009c/Johnson%20Controls/
JOHNSON CONTROLS,submetric,Society,Societal stability,,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7a35a742-38f7-4ff7-9035-b6e7acda009c/Johnson%20Controls/
JOHNSON CONTROLS,submetric,Knowledge,Scarce human capital,-2.1,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7a35a742-38f7-4ff7-9035-b6e7acda009c/Johnson%20Controls/
JOHNSON CONTROLS,submetric,Knowledge,Knowledge infrastructure,,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7a35a742-38f7-4ff7-9035-b6e7acda009c/Johnson%20Controls/
JOHNSON CONTROLS,submetric,Knowledge,Creating knowledge,,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7a35a742-38f7-4ff7-9035-b6e7acda009c/Johnson%20Controls/
JOHNSON CONTROLS,submetric,Knowledge,Distributing knowledge,,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7a35a742-38f7-4ff7-9035-b6e7acda009c/Johnson%20Controls/
JOHNSON CONTROLS,submetric,Health,Physical diseases,-0.5,+1.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7a35a742-38f7-4ff7-9035-b6e7acda009c/Johnson%20Controls/
JOHNSON CONTROLS,submetric,Health,Mental diseases,,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7a35a742-38f7-4ff7-9035-b6e7acda009c/Johnson%20Controls/
JOHNSON CONTROLS,submetric,Health,Nutrition,,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7a35a742-38f7-4ff7-9035-b6e7acda009c/Johnson%20Controls/
JOHNSON CONTROLS,submetric,Health,Relationships,,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7a35a742-38f7-4ff7-9035-b6e7acda009c/Johnson%20Controls/
JOHNSON CONTROLS,submetric,Health,Meaning & joy,,+1.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7a35a742-38f7-4ff7-9035-b6e7acda009c/Johnson%20Controls/
JOHNSON CONTROLS,submetric,Environment,GHG emissions,-3.4,+4.0,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7a35a742-38f7-4ff7-9035-b6e7acda009c/Johnson%20Controls/
JOHNSON CONTROLS,submetric,Environment,Non-GHG emissions,-0.9,+1.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7a35a742-38f7-4ff7-9035-b6e7acda009c/Johnson%20Controls/
JOHNSON CONTROLS,submetric,Environment,Scarce natural resources,-0.2,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7a35a742-38f7-4ff7-9035-b6e7acda009c/Johnson%20Controls/
JOHNSON CONTROLS,submetric,Environment,Biodiversity,-0.9,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7a35a742-38f7-4ff7-9035-b6e7acda009c/Johnson%20Controls/
JOHNSON CONTROLS,submetric,Environment,Waste,-0.9,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7a35a742-38f7-4ff7-9035-b6e7acda009c/Johnson%20Controls/
STATE STREET,category_total,Society,Society,-0.3,+7.5,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/b05f860c-103d-4da5-85a1-30bcb2600f71/State%20Street/
STATE STREET,category_total,Knowledge,Knowledge,-6.4,+1.6,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/b05f860c-103d-4da5-85a1-30bcb2600f71/State%20Street/
STATE STREET,category_total,Health,Health,-0.4,+0.9,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/b05f860c-103d-4da5-85a1-30bcb2600f71/State%20Street/
STATE STREET,category_total,Environment,Environment,-1.9,+0.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/b05f860c-103d-4da5-85a1-30bcb2600f71/State%20Street/
STATE STREET,submetric,Society,Taxes,,+3.8,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/b05f860c-103d-4da5-85a1-30bcb2600f71/State%20Street/
STATE STREET,submetric,Society,Jobs,,+1.8,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/b05f860c-103d-4da5-85a1-30bcb2600f71/State%20Street/
STATE STREET,submetric,Society,Societal infrastructure,,+1.8,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/b05f860c-103d-4da5-85a1-30bcb2600f71/State%20Street/
STATE STREET,submetric,Society,Equality & human rights,-0.1,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/b05f860c-103d-4da5-85a1-30bcb2600f71/State%20Street/
STATE STREET,submetric,Society,Societal stability,-0.2,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/b05f860c-103d-4da5-85a1-30bcb2600f71/State%20Street/
STATE STREET,submetric,Knowledge,Scarce human capital,-6.4,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/b05f860c-103d-4da5-85a1-30bcb2600f71/State%20Street/
STATE STREET,submetric,Knowledge,Knowledge infrastructure,,+0.0,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/b05f860c-103d-4da5-85a1-30bcb2600f71/State%20Street/
STATE STREET,submetric,Knowledge,Creating knowledge,,+0.9,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/b05f860c-103d-4da5-85a1-30bcb2600f71/State%20Street/
STATE STREET,submetric,Knowledge,Distributing knowledge,,+0.7,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/b05f860c-103d-4da5-85a1-30bcb2600f71/State%20Street/
STATE STREET,submetric,Health,Physical diseases,-0.3,+0.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/b05f860c-103d-4da5-85a1-30bcb2600f71/State%20Street/
STATE STREET,submetric,Health,Mental diseases,-0.1,+0.0,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/b05f860c-103d-4da5-85a1-30bcb2600f71/State%20Street/
STATE STREET,submetric,Health,Nutrition,,+0.3,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/b05f860c-103d-4da5-85a1-30bcb2600f71/State%20Street/
STATE STREET,submetric,Health,Relationships,-0.0,+0.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/b05f860c-103d-4da5-85a1-30bcb2600f71/State%20Street/
STATE STREET,submetric,Health,Meaning & joy,-0.0,+0.2,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/b05f860c-103d-4da5-85a1-30bcb2600f71/State%20Street/
STATE STREET,submetric,Environment,GHG emissions,-1.0,+0.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/b05f860c-103d-4da5-85a1-30bcb2600f71/State%20Street/
STATE STREET,submetric,Environment,Non-GHG emissions,-0.2,+0.0,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/b05f860c-103d-4da5-85a1-30bcb2600f71/State%20Street/
STATE STREET,submetric,Environment,Scarce natural resources,-0.1,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/b05f860c-103d-4da5-85a1-30bcb2600f71/State%20Street/
STATE STREET,submetric,Environment,Biodiversity,-0.3,,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/b05f860c-103d-4da5-85a1-30bcb2600f71/State%20Street/
STATE STREET,submetric,Environment,Waste,-0.3,+0.0,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/b05f860c-103d-4da5-85a1-30bcb2600f71/State%20Street/
ONEOK,category_total,Society,Society,-3.5,+20.1,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7a0a6b9d-e028-4f8a-8701-52831c2080b2/Oneok/
ONEOK,category_total,Knowledge,Knowledge,-2.8,+1.3,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7a0a6b9d-e028-4f8a-8701-52831c2080b2/Oneok/
ONEOK,category_total,Health,Health,-3.4,+0.3,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7a0a6b9d-e028-4f8a-8701-52831c2080b2/Oneok/
ONEOK,category_total,Environment,Environment,-30.6,+1.3,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7a0a6b9d-e028-4f8a-8701-52831c2080b2/Oneok/
ONEOK,submetric,Society,Taxes,,+4.6,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7a0a6b9d-e028-4f8a-8701-52831c2080b2/Oneok/
ONEOK,submetric,Society,Jobs,,+2.5,cents per dollar of revenue,1.12.0,https://uprightplatform.com/company/7a0a6b9d-e028-4f8a-8701-52831c2080b2/Oneok/
