ticker,security,gics_sector,level_score,level_intensity_tco2e_per_usd,scope1_is_estimated,scope2_is_estimated,velocity_score,velocity_basis,velocity_details,integrity_score,integrity_disclosure_quality,integrity_cross_source_agreement,integrity_basis,environmental_composite_score
VMRK,Vivmark Residential,Real Estate,95.4,1.2526105303143594e-05,False,False,20,no_commitment,No SBTi match -- no visible forward-looking climate target.,90.0,90.0,,disclosure_quality_only,68.5
FRT,Federal Realty Investment Trust,Real Estate,86.4,3.1510091376471875e-05,True,True,80.0,target_ambition,SBTi points: 2/2 for validation status (Targets set) + 2/2 for ambition (1.5°C) + 0/1 for a net-zero target (none) = 4/5 -> 80.0.,38.5,12.0,78.3,with_cross_validation,68.3
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,83.6,8.953829436005082e-06,True,True,80.0,target_ambition,SBTi points: 2/2 for validation status (Targets set) + 2/2 for ambition (1.5°C) + 0/1 for a net-zero target (none) = 4/5 -> 80.0.,40.7,12.0,83.7,with_cross_validation,68.1
ETN,Eaton Corporation,Industrials,92.7,2.8540741325529722e-05,False,False,17.6,measured_trend,"Measured: 284,822 -> 272,186 tCO2e over 6 yr(s) (12/31/2018 baseline, 2024 assumed current year) = 0.74%/yr observed vs. 4.2%/yr required (1.5C pathway).",93.3,100.0,83.2,with_cross_validation,67.9
EFX,Equifax,Industrials,96.6,1.714477469914389e-05,True,True,80.0,target_ambition,SBTi points: 2/2 for validation status (Targets set) + 2/2 for ambition (1.5°C) + 0/1 for a net-zero target (none) = 4/5 -> 80.0.,27.1,12.0,49.7,with_cross_validation,67.9
SHW,Sherwin-Williams,Materials,100.0,2.7622601463685322e-05,False,False,20,no_commitment,No SBTi match -- no visible forward-looking climate target.,83.6,80.0,88.9,with_cross_validation,67.9
FERG,Ferguson Enterprises,Industrials,100.0,6.034846756328238e-06,False,False,20,no_commitment,No SBTi match -- no visible forward-looking climate target.,83.4,90.0,73.5,with_cross_validation,67.8
PG,Procter & Gamble,Consumer Staples,63.0,2.2123146926295598e-05,False,True,80.0,target_ambition,SBTi points: 2/2 for validation status (Targets set) + 2/2 for ambition (1.5°C) + 0/1 for a net-zero target (Commitment removed) = 4/5 -> 80.0.,59.8,34.0,98.6,with_cross_validation,67.6
MDLZ,Mondelez International,Consumer Staples,61.6,2.2822748021486114e-05,True,True,100.0,target_ambition,SBTi points: 2/2 for validation status (Targets set) + 2/2 for ambition (1.5°C) + 1/1 for a net-zero target (Targets set) = 5/5 -> 100.0.,40.2,12.0,82.5,with_cross_validation,67.3
BALL,Ball Corporation,Materials,75.1,0.00027857326587827264,True,True,80.0,target_ambition,SBTi points: 2/2 for validation status (Targets set) + 2/2 for ambition (1.5°C) + 0/1 for a net-zero target (none) = 4/5 -> 80.0.,46.5,12.0,98.3,with_cross_validation,67.2
ELV,Elevance Health,Health Care,82.8,4.289771120368583e-06,True,True,80.0,target_ambition,SBTi points: 2/2 for validation status (Targets set) + 2/2 for ambition (1.5°C) + 0/1 for a net-zero target (none) = 4/5 -> 80.0.,38.9,12.0,79.2,with_cross_validation,67.2
CMCSA,Comcast,Communication Services,77.9,6.420575133195673e-06,True,True,80.0,target_ambition,SBTi points: 2/2 for validation status (Targets set) + 2/2 for ambition (1.5°C) + 0/1 for a net-zero target (none) = 4/5 -> 80.0.,43.5,12.0,90.8,with_cross_validation,67.1
AWK,American Water Works,Utilities,98.4,0.00010120609877152939,False,False,20,no_commitment,No SBTi match -- no visible forward-looking climate target.,81.7,90.0,69.3,with_cross_validation,66.7
MSCI,MSCI,Financials,100.0,1.9205347615388017e-07,False,False,0.0,measured_trend,"Measured: 272 -> 543 tCO2e over 5 yr(s) (12/31/2019 baseline, 2024 assumed current year) = -19.94%/yr observed vs. 4.2%/yr required (1.5C pathway).",99.9,100.0,99.8,with_cross_validation,66.6
MSFT,Microsoft,Information Technology,98.7,1.2132389031816476e-06,False,False,0.0,measured_trend,"Measured: 118,100 -> 143,510 tCO2e over 4 yr(s) (06/30/2020 baseline, 2024 assumed current year) = -5.38%/yr observed vs. 4.2%/yr required (1.5C pathway).",99.4,100.0,98.6,with_cross_validation,66.0
EQT,EQT Corporation,Energy,95.7,9.05648068364879e-05,False,False,20,no_commitment,No SBTi match -- no visible forward-looking climate target.,81.1,80.0,82.7,with_cross_validation,65.6
DD,DuPont,Industrials,4.4,0.0002886120386541669,False,False,100.0,measured_trend,"Measured: 2,058,130 -> 1,408,320 tCO2e over 5 yr(s) (12/31/2019 baseline, 2024 assumed current year) = 6.31%/yr observed vs. 4.2%/yr required (1.5C pathway).",91.6,100.0,79.1,with_cross_validation,65.3
LII,Lennox International,Industrials,98.2,1.2236770085900167e-05,True,True,60.0,target_ambition,SBTi points: 2/2 for validation status (Targets set) + 1/2 for ambition (Well-below 2°C) + 0/1 for a net-zero target (none) = 3/5 -> 60.0.,37.8,12.0,76.6,with_cross_validation,65.3
MPWR,Monolithic Power Systems,Information Technology,86.3,7.822720710746234e-06,False,False,20,no_commitment,No SBTi match -- no visible forward-looking climate target.,89.5,90.0,88.8,with_cross_validation,65.3
SPG,Simon Property Group,Real Estate,75.6,5.3990230400486805e-05,True,True,80.0,target_ambition,SBTi points: 2/2 for validation status (Targets set) + 2/2 for ambition (1.5°C) + 0/1 for a net-zero target (none) = 4/5 -> 80.0.,40.0,12.0,81.9,with_cross_validation,65.2
EMR,Emerson Electric,Industrials,97.0,1.5835158411751537e-05,False,False,0.0,measured_trend,"Measured: 82,456 -> 82,510 tCO2e over 3 yr(s) (09/30/2021 baseline, 2024 assumed current year) = -0.02%/yr observed vs. 4.2%/yr required (1.5C pathway).",98.1,100.0,95.4,with_cross_validation,65.0
DLR,Digital Realty,Real Estate,66.2,7.38730262257095e-05,True,True,100.0,target_ambition,SBTi points: 2/2 for validation status (Targets set) + 2/2 for ambition (1.5°C) + 1/1 for a net-zero target (Committed) = 5/5 -> 100.0.,28.4,12.0,53.0,with_cross_validation,64.9
CRM,Salesforce,Information Technology,97.4,1.9117847486695086e-06,False,False,20,no_commitment,No SBTi match -- no visible forward-looking climate target.,77.0,72.0,84.6,with_cross_validation,64.8
CARR,Carrier Global,Industrials,95.3,2.1032793315343086e-05,False,False,0.0,measured_trend,"Measured: 203,379 -> 203,379 tCO2e over 3 yr(s) (12/31/2021 baseline, 2024 assumed current year) = 0.00%/yr observed vs. 4.2%/yr required (1.5C pathway).",98.5,100.0,96.1,with_cross_validation,64.6
CI,Cigna,Health Care,100.0,1.4169457975756634e-07,False,False,3.2,measured_trend,"Measured: 16,671 -> 16,559 tCO2e over 5 yr(s) (12/31/2019 baseline, 2024 assumed current year) = 0.13%/yr observed vs. 4.2%/yr required (1.5C pathway).",89.9,100.0,74.8,with_cross_validation,64.4
ORCL,Oracle Corporation,Information Technology,93.1,4.195246202186466e-06,False,False,0.0,measured_trend,"Measured: 15,272 -> 29,930 tCO2e over 4 yr(s) (12/31/2020 baseline, 2024 assumed current year) = -23.99%/yr observed vs. 4.2%/yr required (1.5C pathway).",100.0,100.0,,disclosure_quality_only,64.4
KLAC,KLA Corporation,Information Technology,94.3,3.5583847354543217e-06,False,False,0.0,measured_trend,"Measured: 4,698 -> 4,698 tCO2e over 3 yr(s) (12/31/2021 baseline, 2024 assumed current year) = 0.00%/yr observed vs. 4.2%/yr required (1.5C pathway).",98.3,100.0,95.7,with_cross_validation,64.2
ISRG,Intuitive Surgical,Health Care,91.9,2.3550895928100244e-06,False,False,0.0,measured_trend,"Measured: 7,409 -> 7,409 tCO2e over 3 yr(s) (12/31/2021 baseline, 2024 assumed current year) = 0.00%/yr observed vs. 4.2%/yr required (1.5C pathway).",100.0,100.0,,disclosure_quality_only,64.0
MDT,Medtronic,Health Care,71.0,6.766571027844334e-06,True,True,80.0,target_ambition,SBTi points: 2/2 for validation status (Targets set) + 2/2 for ambition (1.5°C) + 0/1 for a net-zero target (Commitment removed) = 4/5 -> 80.0.,41.1,12.0,84.7,with_cross_validation,64.0
JNJ,Johnson & Johnson,Health Care,65.7,7.891076966615001e-06,True,True,80.0,target_ambition,SBTi points: 2/2 for validation status (Targets set) + 2/2 for ambition (1.5°C) + 0/1 for a net-zero target (Commitment removed) = 4/5 -> 80.0.,45.6,12.0,96.0,with_cross_validation,63.8
CHRW,C.H. Robinson,Industrials,100.0,1.373046443382024e-06,False,False,20,no_commitment,No SBTi match -- no visible forward-looking climate target.,70.5,90.0,41.2,with_cross_validation,63.5
MRVL,Marvell Technology,Information Technology,95.7,2.8185347372559123e-06,False,False,0.0,measured_trend,"Measured: 4,320 -> 4,433 tCO2e over 2 yr(s) (01/31/2022 baseline, 2024 assumed current year) = -1.31%/yr observed vs. 4.2%/yr required (1.5C pathway).",94.7,100.0,86.9,with_cross_validation,63.5
UAL,United Airlines Holdings,Industrials,97.2,1.5421773144544998e-05,True,True,60.0,target_ambition,SBTi points: 2/2 for validation status (Targets set) + 1/2 for ambition (Well-below 2°C) + 0/1 for a net-zero target (Commitment removed) = 3/5 -> 60.0.,33.4,12.0,65.4,with_cross_validation,63.5
WMT,Walmart,Consumer Staples,65.3,2.1012747707891907e-05,True,True,80.0,target_ambition,SBTi points: 2/2 for validation status (Targets set) + 2/2 for ambition (1.5°C) + 0/1 for a net-zero target (Commitment removed) = 4/5 -> 80.0.,45.2,12.0,95.1,with_cross_validation,63.5
AMCR,Amcor,Materials,47.6,0.0005534631485936902,True,True,100.0,target_ambition,SBTi points: 2/2 for validation status (Targets set) + 2/2 for ambition (1.5°C) + 1/1 for a net-zero target (Targets set) = 5/5 -> 100.0.,42.6,12.0,88.5,with_cross_validation,63.4
CTVA,Corteva,Materials,97.3,5.5892367902237896e-05,False,False,0.0,measured_trend,"Measured: 386,000 -> 386,477 tCO2e over 4 yr(s) (12/31/2020 baseline, 2024 assumed current year) = -0.03%/yr observed vs. 4.2%/yr required (1.5C pathway).",92.7,100.0,81.7,with_cross_validation,63.3
JPM,JPMorgan Chase,Financials,97.9,5.733437603786008e-07,False,False,20,no_commitment,No SBTi match -- no visible forward-looking climate target.,72.0,72.0,,disclosure_quality_only,63.3
DUK,Duke Energy,Utilities,43.6,0.0024209370857939862,False,False,54.0,measured_trend,"Measured: 138,800,000 -> 79,000,000 tCO2e over 19 yr(s) (12/31/2005 baseline, 2024 assumed current year) = 2.27%/yr observed vs. 4.2%/yr required (1.5C pathway).",91.5,90.0,93.9,with_cross_validation,63.0
LULU,Lululemon Athletica,Consumer Discretionary,100.0,2.876341328731745e-07,False,False,20,no_commitment,No SBTi match -- no visible forward-looking climate target.,68.5,90.0,36.1,with_cross_validation,62.8
MCO,Moody's Corporation,Financials,88.1,1.8792892156862745e-06,False,False,0.0,measured_trend,"Measured: 1,744 -> 1,744 tCO2e over 5 yr(s) (12/31/2019 baseline, 2024 assumed current year) = 0.00%/yr observed vs. 4.2%/yr required (1.5C pathway).",99.9,100.0,99.7,with_cross_validation,62.7
HRL,Hormel Foods,Consumer Staples,14.6,4.574479794798915e-05,False,False,80.0,target_ambition,SBTi points: 2/2 for validation status (Targets set) + 2/2 for ambition (1.5°C) + 0/1 for a net-zero target (none) = 4/5 -> 80.0.,92.6,90.0,96.6,with_cross_validation,62.4
AAPL,Apple Inc.,Information Technology,100.0,1.2552937951744267e-07,False,False,0.0,measured_trend,"Measured: 21,700 -> 55,200 tCO2e over 13 yr(s) (10/25/2011 baseline, 2024 assumed current year) = -11.88%/yr observed vs. 4.2%/yr required (1.5C pathway).",86.9,100.0,67.4,with_cross_validation,62.3
COR,Cencora,Health Care,100.0,5.896060852935022e-07,False,False,0.0,measured_trend,"Measured: 98,742 -> 108,712 tCO2e over 5 yr(s) (09/30/2019 baseline, 2024 assumed current year) = -2.02%/yr observed vs. 4.2%/yr required (1.5C pathway).",86.3,100.0,65.8,with_cross_validation,62.1
AMD,Advanced Micro Devices,Information Technology,98.8,1.128313709270684e-06,False,False,0.0,measured_trend,"Measured: 6,412 -> 10,008 tCO2e over 4 yr(s) (12/31/2020 baseline, 2024 assumed current year) = -14.02%/yr observed vs. 2.5%/yr required (well-below-2C pathway).",87.2,100.0,68.0,with_cross_validation,62.0
CRWD,CrowdStrike,Information Technology,94.0,3.696379440906485e-06,True,True,80.0,target_ambition,SBTi points: 2/2 for validation status (Targets set) + 2/2 for ambition (1.5°C) + 0/1 for a net-zero target (Commitment removed) = 4/5 -> 80.0.,12.0,12.0,,disclosure_quality_only,62.0
